A.L.E: Arcade Learning Environment (version 0.11.2+ecc1138)
[Powered by Stella]
Episode  299/500 | return=-21.00 | len= 764 | eps=0.437 | loss=0.02618
Episode  300/500 | return=-21.00 | len= 812 | eps=0.436 | loss=0.02425
  Eval over 5 eps: mean_return=-21.00 ± 0.00
Episode  301/500 | return=-21.00 | len= 826 | eps=0.435 | loss=0.02423
Episode  302/500 | return=-21.00 | len= 886 | eps=0.433 | loss=0.02269
Episode  303/500 | return=-20.00 | len=1050 | eps=0.432 | loss=0.01990
Episode  304/500 | return=-21.00 | len= 826 | eps=0.431 | loss=0.02418
Episode  305/500 | return=-20.00 | len= 842 | eps=0.430 | loss=0.02499
Episode  306/500 | return=-19.00 | len=1054 | eps=0.429 | loss=0.02096
Episode  307/500 | return=-20.00 | len= 899 | eps=0.428 | loss=0.02348
Episode  308/500 | return=-19.00 | len= 983 | eps=0.427 | loss=0.02242
Episode  309/500 | return=-21.00 | len= 783 | eps=0.425 | loss=0.02547
Episode  310/500 | return=-21.00 | len= 826 | eps=0.424 | loss=0.02392
Episode  311/500 | return=-21.00 | len= 792 | eps=0.423 | loss=0.02548
Episode  312/500 | return=-20.00 | len= 921 | eps=0.422 | loss=0.02278
Episode  313/500 | return=-20.00 | len= 838 | eps=0.421 | loss=0.02517
Episode  314/500 | return=-19.00 | len= 934 | eps=0.420 | loss=0.02372
Episode  315/500 | return=-20.00 | len= 896 | eps=0.419 | loss=0.02338
Episode  316/500 | return=-21.00 | len= 888 | eps=0.418 | loss=0.02249
Episode  317/500 | return=-21.00 | len= 822 | eps=0.417 | loss=0.02409
Episode  318/500 | return=-21.00 | len= 792 | eps=0.415 | loss=0.02498
Episode  319/500 | return=-20.00 | len= 842 | eps=0.414 | loss=0.02503
Episode  320/500 | return=-20.00 | len=1149 | eps=0.413 | loss=0.01847
Episode  321/500 | return=-21.00 | len= 764 | eps=0.412 | loss=0.02608
Episode  322/500 | return=-21.00 | len= 854 | eps=0.411 | loss=0.02329
Episode  323/500 | return=-21.00 | len= 794 | eps=0.410 | loss=0.02535
Episode  324/500 | return=-20.00 | len=1010 | eps=0.409 | loss=0.02066
Episode  325/500 | return=-21.00 | len= 792 | eps=0.408 | loss=0.02510
  Eval over 5 eps: mean_return=-21.00 ± 0.00
Episode  326/500 | return=-21.00 | len= 974 | eps=0.407 | loss=0.02058
Episode  327/500 | return=-20.00 | len= 930 | eps=0.406 | loss=0.02246
Episode  328/500 | return=-21.00 | len=1021 | eps=0.405 | loss=0.01949
Episode  329/500 | return=-21.00 | len= 917 | eps=0.404 | loss=0.02171
Episode  330/500 | return=-20.00 | len= 887 | eps=0.402 | loss=0.02402
Episode  331/500 | return=-19.00 | len=1035 | eps=0.401 | loss=0.02143
Episode  332/500 | return=-21.00 | len= 867 | eps=0.400 | loss=0.02306
Episode  333/500 | return=-21.00 | len= 872 | eps=0.399 | loss=0.02314
Episode  334/500 | return=-21.00 | len= 991 | eps=0.398 | loss=0.01989
Episode  335/500 | return=-21.00 | len= 811 | eps=0.397 | loss=0.02459
Episode  336/500 | return=-21.00 | len= 880 | eps=0.396 | loss=0.02266
Episode  337/500 | return=-20.00 | len= 928 | eps=0.395 | loss=0.02276
Episode  338/500 | return=-21.00 | len= 886 | eps=0.394 | loss=0.02267
Episode  339/500 | return=-21.00 | len= 826 | eps=0.393 | loss=0.02414
Episode  340/500 | return=-21.00 | len= 792 | eps=0.392 | loss=0.02513
Episode  341/500 | return=-21.00 | len= 852 | eps=0.391 | loss=0.02304
Episode  342/500 | return=-21.00 | len= 826 | eps=0.390 | loss=0.02403
Episode  343/500 | return=-21.00 | len= 824 | eps=0.389 | loss=0.02414
