#{"t_start": 1764983017.8905473, "env_id": "ALE/Pong-v5"}
r,l,t
15.0,2746,5745.190365
17.0,2691,5759.409173
21.0,2409,5770.010244
18.0,2589,5783.253983
19.0,2568,5794.9288
20.0,2405,5807.557539
17.0,2475,5820.984387
12.0,2754,5834.540601
16.0,2577,5847.939457
15.0,2667,5860.718235
18.0,2580,5874.988345
8.0,2999,5889.855844
16.0,2466,5902.419036
13.0,2751,5914.757951
18.0,2495,5927.590223
15.0,2476,5940.162158
12.0,2587,5952.148306
20.0,2437,5965.485069
12.0,2875,5979.234346
16.0,2626,5993.294596
16.0,2504,6005.301878
17.0,2681,6019.928868
14.0,2748,6034.937965
13.0,2329,6045.582117
15.0,2692,6059.546137
20.0,2422,6070.771994
13.0,2713,6085.294123
16.0,2594,6097.038504
16.0,2569,6110.28545
18.0,2430,6122.717904
19.0,2553,6134.590456
14.0,2751,6148.924122
16.0,2686,6161.541836
16.0,2705,6176.03451
16.0,2748,6189.101908
15.0,2585,6202.867884
16.0,2625,6216.936414
17.0,2594,6229.218027
15.0,2576,6243.11728
20.0,2649,6255.229746
19.0,2507,6268.084311
17.0,2658,6281.58281
18.0,2475,6292.516379
20.0,2410,6305.005273
